label,probe_group,Δ,x,g,E,N,cutoff_budget_exceeded,trunc_tol,ss_ilu_tau,ss_rebuild_niter,ss_converged,ss_iterations,ss_rebuilds,trace_error,hermiticity_error,liouvillian_residual,relative_liouvillian_residual,c1,c2,c3,Fano,current_check,fcs_retry,fcs_warnings,liouvillian_seconds,preconditioner_seconds,ilu_seconds,gmres_seconds,fcs_seconds,total_seconds,n,occupation_fraction,cutoff_status,cavity_boundary,cavity_tail,cavity_tail5
"fcs Δ=0.0, x=0.76",fixed g drive sweep,0.0,0.76,14.0,5.32,150,false,0.0001,0.1,80,true,10,0,8.151590513705287e-12,4.283737084871556e-12,1.1723212453252914e-11,2.812450892465326e-19,0.6233570180093784,18.52477137832492,1060.7819500736662,29.71775538435699,1.0,false,0,0.145892833,0.0,0.0,0.136091917,0.301729208,0.59133425,0.6233570180093784,0.004155713453395856,safe,2.8208875532709755e-19,1.123294128230053e-18,1.0065536396663126e-17
"fcs Δ=0.0, x=0.77",fixed g drive sweep,0.0,0.77,14.0,5.390000000000001,150,false,0.0001,0.1,80,true,12,0,8.315126365232572e-12,2.7673628456718934e-12,7.922778772316133e-12,1.9237456023964217e-19,0.7088811649368459,22.23692251515572,1351.067933061551,31.369041265381625,1.000000000000001,false,0,0.144825292,0.0,0.0,0.151809125,0.312958625,0.616768125,0.7088811649368452,0.004725874432912301,safe,8.605758280347823e-19,3.3622538035347777e-18,2.870889715095747e-17
"fcs Δ=0.0, x=0.78",fixed g drive sweep,0.0,0.78,14.0,5.46,150,false,0.0001,0.1,80,true,14,0,2.3301360840832785e-11,2.3609886721212152e-12,7.563484031500051e-12,1.8614611472463824e-19,0.8061424031426749,26.659830503794392,1716.8290968657982,33.070869861036215,1.0,false,0,0.021348042,0.0,0.0,0.201281459,0.459516417,0.6898295,0.8061424031426749,0.005374282687617833,safe,2.344577426052875e-18,8.941523896618545e-18,7.193632134053091e-17
"fcs Δ=0.0, x=0.79",fixed g drive sweep,0.0,0.79,14.0,5.53,150,false,0.0001,0.1,80,true,16,0,4.599765013324486e-12,3.822563488214725e-12,7.589785576155686e-12,1.8962714656333172e-19,0.9167086326217564,31.91680927318476,2176.1334619598974,34.81674344213793,1.0000000000000004,false,0,0.017468625,0.0,0.0,0.210302584,0.427819417,0.663160459,0.9167086326217561,0.0061113908841450406,safe,3.9725600205300005e-18,1.45229938987525e-17,1.1100318734493341e-16
"fcs Δ=0.0, x=0.8",fixed g drive sweep,0.0,0.8,14.0,5.6000000000000005,150,false,0.0001,0.1,80,true,18,0,5.88897819397971e-11,3.966656964259711e-12,8.370346547677845e-12,2.1265630641794947e-19,1.0423414289689061,38.148493729788385,2750.8530624834143,36.59884627969286,1.0000000000000007,false,0,0.131238917,0.0,0.0,0.229705834,0.468938084,0.840112709,1.0423414289689055,0.006948942859792703,safe,2.182502370947301e-18,7.53278456911818e-18,1.1891468008679764e-16
"fcs Δ=0.0, x=0.81",fixed g drive sweep,0.0,0.81,14.0,5.67,150,false,0.0001,0.1,80,true,20,0,4.4070525007100514e-11,5.7912419444680234e-12,1.1207100436055064e-11,2.9004481871219814e-19,1.185016523791638,45.514143945299246,3467.324660419835,38.40802472498014,1.0000000000000009,false,0,0.038410417,0.0,0.0,0.3793425,0.479225084,0.904651917,1.1850165237916368,0.007900110158610913,safe,2.1951763330337077e-17,9.194288405944412e-17,1.2922486847148482e-15
"fcs Δ=0.0, x=0.82",fixed g drive sweep,0.0,0.82,14.0,5.739999999999999,150,false,0.0001,0.1,80,true,22,0,1.9983348309438043e-11,8.911991624730307e-12,1.57777809182444e-11,4.1674980326659916e-19,1.346946139205976,54.19278003570992,4357.106778714239,40.23381370516904,1.0000000000000004,false,0,0.016003958,0.0,0.0,0.308977375,0.672585917,1.006376292,1.3469461392059754,0.008979640928039836,safe,2.618038010710225e-16,1.0364130888768124e-15,1.0505596186512159e-14
"fcs Δ=0.0, x=0.83",fixed g drive sweep,0.0,0.83,14.0,5.81,150,false,0.0001,0.1,80,true,25,0,1.0538903083556761e-11,5.902341140247885e-12,1.496399778982409e-11,4.042035652494148e-19,1.5306034971834908,64.38408365619401,5457.852432273455,42.064508394675094,0.999999999999999,false,0,0.018098875,0.0,0.0,0.326665416,0.754843584,1.106707417,1.5306034971834923,0.010204023314556615,safe,1.6157809288089021e-15,6.076581653950723e-15,5.162606245269745e-14
"fcs Δ=0.0, x=0.84",fixed g drive sweep,0.0,0.84,14.0,5.88,150,false,0.0001,0.1,80,true,27,0,2.1937340832778318e-11,1.0233710601669328e-11,2.7098550490212223e-11,7.501127630133455e-19,1.738749960215774,76.30901109889523,6814.32496931853,43.88728272892411,1.0000000000000004,false,0,0.016862625,0.0,0.0,0.379114792,0.719925083,1.124032583,1.7387499602157734,0.011591666401438489,safe,6.1493727148963156e-15,2.2676441587136542e-14,1.845458739384815e-13
"fcs Δ=0.0, x=0.85",fixed g drive sweep,0.0,0.85,14.0,5.95,150,false,0.0001,0.1,80,true,30,0,6.116473993955651e-11,1.119152332494815e-11,2.3740680686081926e-11,6.748967372217941e-19,1.9744654111377202,90.21007817096776,8479.600337962374,45.68835577574752,0.9999999999999997,false,0,0.127143833,0.0,0.0,0.395885834,0.78401675,1.313996333,1.974465411137721,0.013163102740918139,safe,1.9926553551884924e-14,7.324193422761841e-14,6.036729528503554e-13
